state_postal,candidate_normalized,district,office,county_fips,year,stage,jurisdiction,precinct,candidate,party,votes,writein,mode,dataverse,state,state_icpsr,state_fips,county_ansi,county_name,county_lat,county_long,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_fec_name,special
WY,NA,0,US House,56001,2016,gen,Albany,Shields Street. Aux. Gym 13-1,NA,NA,7,TRUE,total,house,Wyoming,68,56,1605066,Albany County,41.665514,-105.721883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
WY,NA,0,US House,56001,2016,gen,Albany,Albany County Fairgrounds 46-11,NA,NA,5,TRUE,total,house,Wyoming,68,56,1605066,Albany County,41.665514,-105.721883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
WY,NA,0,US House,56001,2016,gen,Albany,Harmony School 46-12,NA,NA,2,TRUE,total,house,Wyoming,68,56,1605066,Albany County,41.665514,-105.721883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
WY,NA,0,US House,56001,2016,gen,Albany,Centennial School 46-13,NA,NA,0,TRUE,total,house,Wyoming,68,56,1605066,Albany County,41.665514,-105.721883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
WY,NA,0,US House,56001,2016,gen,Albany,Rock River Town Hall 47-11,NA,NA,1,TRUE,total,house,Wyoming,68,56,1605066,Albany County,41.665514,-105.721883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
WY,NA,0,US House,56001,2016,gen,Albany,Shields Street. Aux. Gym 13-2,NA,NA,2,TRUE,total,house,Wyoming,68,56,1605066,Albany County,41.665514,-105.721883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
WY,NA,0,US House,56001,2016,gen,Albany,Spring Creek Elementary School 13-3,NA,NA,12,TRUE,total,house,Wyoming,68,56,1605066,Albany County,41.665514,-105.721883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
WY,NA,0,US House,56001,2016,gen,Albany,National Guard Armory 14-1,NA,NA,16,TRUE,total,house,Wyoming,68,56,1605066,Albany County,41.665514,-105.721883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
WY,NA,0,US House,56001,2016,gen,Albany,Laramie Peak Fire Hall 14-11,NA,NA,5,TRUE,total,house,Wyoming,68,56,1605066,Albany County,41.665514,-105.721883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
WY,NA,0,US House,56001,2016,gen,Albany,Linford Elementary School 45-1,NA,NA,5,TRUE,total,house,Wyoming,68,56,1605066,Albany County,41.665514,-105.721883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
