STATEFP|AIANNHCE|NAME|NAMELSAD
06|0020|Agua Caliente|Agua Caliente Indian Reservation and Off-Reservation Trust Land
06|0095|Alturas|Alturas Indian Rancheria
06|0120|Auburn|Auburn Rancheria and Off-Reservation Trust Land
06|0125|Augustine|Augustine Reservation
06|0155|Barona|Barona Reservation
06|0185|Benton Paiute|Benton Paiute Reservation and Off-Reservation Trust Land
06|0200|Berry Creek|Berry Creek Rancheria and Off-Reservation Trust Land
06|0215|Big Bend|Big Bend Rancheria
06|0240|Big Lagoon|Big Lagoon Rancheria
06|0250|Big Pine|Big Pine Reservation
06|0265|Big Sandy|Big Sandy Rancheria
06|0275|Big Valley|Big Valley Rancheria
06|0290|Bishop|Bishop Reservation
06|0325|Blue Lake|Blue Lake Rancheria and Off-Reservation Trust Land
06|0350|Bridgeport|Bridgeport Reservation
06|0415|Cabazon|Cabazon Reservation
06|0435|Cahuilla|Cahuilla Reservation
06|0450|Campo|Campo Indian Reservation
06|0495|Capitan Grande|Capitan Grande Reservation
06|0555|Cedarville|Cedarville Rancheria and Off-Reservation Trust Land
06|0585|Chemehuevi|Chemehuevi Reservation
06|0620|Chicken Ranch|Chicken Ranch Rancheria and Off-Reservation Trust Land
06|0720|Cold Springs|Cold Springs Rancheria
06|0735|Colorado River|Colorado River Indian Reservation
06|0750|Colusa|Colusa Rancheria
06|0780|Cortina|Cortina Indian Rancheria
06|0825|Coyote Valley|Coyote Valley Reservation
06|0955|Dry Creek|Dry Creek Rancheria
06|1010|Elk Valley|Elk Valley Rancheria and Off-Reservation Trust Land
06|1055|Enterprise|Enterprise Rancheria
06|1065|Ewiiaapaayp|Ewiiaapaayp Reservation
06|1170|Fort Bidwell|Fort Bidwell Reservation and Off-Reservation Trust Land
06|1195|Fort Independence|Fort Independence Reservation
06|1235|Fort Mojave|Fort Mojave Reservation and Off-Reservation Trust Land
06|1280|Fort Yuma|Fort Yuma Indian Reservation
06|1380|Greenville|Greenville Rancheria
06|1395|Grindstone|Grindstone Indian Rancheria
06|1400|Guidiville|Guidiville Rancheria and Off-Reservation Trust Land
06|1490|Hoopa Valley|Hoopa Valley Reservation
06|1515|Hopland|Hopland Rancheria and Off-Reservation Trust Land
06|1560|Inaja and Cosmit|Inaja and Cosmit Reservation
06|1640|Jackson|Jackson Rancheria
06|1670|Jamul|Jamul Indian Village
06|1750|Karuk|Karuk Reservation and Off-Reservation Trust Land
06|1850|La Jolla|La Jolla Reservation
06|1895|La Posta|La Posta Indian Reservation
06|1925|Laytonville|Laytonville Rancheria
06|1955|Likely|Likely Rancheria
06|1970|Lone Pine|Lone Pine Reservation
06|1980|Lookout|Lookout Rancheria
06|1995|Los Coyotes|Los Coyotes Reservation
06|2075|Lytton|Lytton Rancheria
06|2100|Manchester-Point Arena|Manchester-Point Arena Rancheria
06|2115|Manzanita|Manzanita Reservation and Off-Reservation Trust Land
