STATEFP|DISTRICT|NAME|NAMELSAD
31|75660|Plattsmouth Community Schools|Plattsmouth Community Schools
31|75690|Pleasanton Public Schools|Pleasanton Public Schools
31|75770|Ponca Public Schools|Ponca Public Schools
31|75810|Potter-Dix Public Schools|Potter-Dix Public Schools
31|75900|Ralston Public Schools|Ralston Public Schools
31|75930|Randolph Public Schools|Randolph Public Schools
31|75960|Ravenna Public Schools|Ravenna Public Schools
31|75990|Red Cloud Community Schools|Red Cloud Community Schools
31|76080|Rising City Public Schools|Rising City Public Schools
31|76170|Rock County Public Schools|Rock County Public Schools
31|76380|Sandhills Public Schools|Sandhills Public Schools
31|76400|Santee Community Schools|Santee Community Schools
31|76410|Sargent Public Schools|Sargent Public Schools
31|76450|Schuyler Community Schools|Schuyler Community Schools
31|76470|Scottsbluff Public Schools|Scottsbluff Public Schools
31|76560|Seward Public Schools|Seward Public Schools
31|76590|Shelby Public Schools|Shelby Public Schools
31|76620|Shelton Public Schools|Shelton Public Schools
31|76650|Shickley Public Schools|Shickley Public Schools
31|76710|Sidney Public Schools|Sidney Public Schools
31|76800|Sioux County Public Schools|Sioux County Public Schools
31|76860|South Sioux City Community Schools|South Sioux City Community Schools
31|76890|Spalding Public Schools|Spalding Public Schools
31|76980|St. Edward Public Schools|St. Edward Public Schools
31|77100|Stapleton Public Schools|Stapleton Public Schools
31|77180|Southern School District 1|Southern School District 1
31|77190|Sterling Public Schools|Sterling Public Schools
31|77340|Sumner-Eddyville-Miller Schools|Sumner-Eddyville-Miller Schools
31|77520|Sutton Public Schools|Sutton Public Schools
31|77550|Syracuse-Dunbar-Avoca Schools|Syracuse-Dunbar-Avoca Schools
31|77730|Thedford Public Schools|Thedford Public Schools
31|78020|Valentine Community Schools|Valentine Community Schools
31|78210|Wahoo Public Schools|Wahoo Public Schools
31|78240|Wakefield Public Schools|Wakefield Public Schools
31|78260|Wallace Public School District 65 R|Wallace Public School District 65 R
31|78300|Walthill Public Schools|Walthill Public Schools
31|78450|Wausa Public Schools|Wausa Public Schools
31|78520|Wayne Community Schools|Wayne Community Schools
31|78540|Weeping Water Public Schools|Weeping Water Public Schools
31|78660|Westside Community Schools|Westside Community Schools
31|78670|Wheeler Central Schools|Wheeler Central Schools
31|78720|Wilber-Clatonia Public Schools|Wilber-Clatonia Public Schools
31|78810|Winnebago Public Schools|Winnebago Public Schools
31|78840|Winside Public Schools|Winside Public Schools
31|78940|Wood River Rural Schools|Wood River Rural Schools
31|78990|Wynot Public Schools|Wynot Public Schools
31|79050|York Public Schools|York Public Schools
31|79080|Yutan Public Schools|Yutan Public Schools
31|99998|School District Not Defined|School District Not Defined
